state_residence_abb,census_division,census_region,year,black_race,deaths,population,STATEFIP,State,YEAR,Population,Household.Firearm.Rate.L5,GOP.control.L5,Robbery.Assault.Rate.L5,Percent.Black.L5,np1.L5,np2.L5,Percent.Urban.Households.L5,Percent.Hispanic,Percent.API,Yearend.Total.Incarceration.Rate.L5,Unemployment.Rate,Decile.income.share,Income2000dollars,Percent.15.to.29,Percent.Div.Sep.Wid,Percent.Children.Single.Parent,Interp.Foreign.Born,Percent.Military.Veterans,Alcohol.per.capita,Poverty.Rate,Percent.0.to.14,Percent.30.to.59,Percent.60.and.over,Percent.White,Percent.Black,Percent.Married,Percent.Never.Married,Percent.Bachelors.degree.or.higher,Gender.Ratio,Unemployment.change,state,smth_np1.L5,smth_np2.L5,Percent.Urban.Households,ubc,ma20,cc_pc,cc_si,syg,cap,vm,ubc_slow,ma20_slow,cc_pc_slow,cc_si_slow,syg_slow,cap_slow,vm_slow,deaths_lag1,deaths_lag2,population_lag1,population_lag2,ubc_lag1,ubc_lag2,ma20_lag1,ma20_lag2,cc_pc_lag1,cc_pc_lag2,cc_si_lag1,cc_si_lag2,syg_lag1,syg_lag2,cap_lag1,cap_lag2,vm_lag1,vm_lag2,ubc_slow_lag1,ubc_slow_lag2,ma20_slow_lag1,ma20_slow_lag2,cc_pc_slow_lag1,cc_pc_slow_lag2,cc_si_slow_lag1,cc_si_slow_lag2,syg_slow_lag1,syg_slow_lag2,cap_slow_lag1,cap_slow_lag2,vm_slow_lag1,vm_slow_lag2,ldo_lag1,ldo_lag2,lpo_lag1,lpo_lag2,black_ind,race_recode,lag1_zero,lag2_zero,lag_o1_zero,lag_o2_zero,state_f,state_n
AK,Division 9: Pacific,Region 4: West,1981,0,44,405294,2,Alaska,1981,418519,2.273852439103146,0.5924487987960696,0.3710458865233136,-0.4603269947091183,0.5338401463220434,-0.7826439065282077,-1.5408210351134164,-0.01983913208766331,1.2006813283811093,0.8667004120216877,-0.004137953638330584,-2.3286090041926277,3.017304972407816,1.7266697986314816,-1.6399979913257825,-0.14608257679459122,0.2537592882988607,1.1581018182781297,1.2501668778575374,-1.7667935757062827,2.0222903970454533,2.252104467021189,-4.65967650438837,-0.7994147022942951,-0.48102302803941577,-0.4290962398276669,1.5667183806974445,1.1872459552850427,4.730771175219816,-0.3140741309599671,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,33,389858,390951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13736,13784,0,-0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1981,1,1,14867,2,Alaska,1981,418519,2.273852439103146,0.5924487987960696,0.3710458865233136,-0.4603269947091183,0.5338401463220434,-0.7826439065282077,-1.5408210351134164,-0.01983913208766331,1.2006813283811093,0.8667004120216877,-0.004137953638330584,-2.3286090041926277,3.017304972407816,1.7266697986314816,-1.6399979913257825,-0.14608257679459122,0.2537592882988607,1.1581018182781297,1.2501668778575374,-1.7667935757062827,2.0222903970454533,2.252104467021189,-4.65967650438837,-0.7994147022942951,-0.48102302803941577,-0.4290962398276669,1.5667183806974445,1.1872459552850427,4.730771175219816,-0.3140741309599671,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13736,13784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,33,389858,390951,1,0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1982,0,41,435288,2,Alaska,1982,449608,2.223226408130461,0.5785797376951749,0.30600187767836146,-0.45624365957768964,0.6305844993044238,-0.7023412976584131,-1.6316340944331098,0.007407923820439206,1.2225006367715021,0.7757662022244397,0.6176321093997752,-1.8944571018012266,3.377071259431593,1.6727417074008955,-1.4502590402489455,-0.3375176165434873,0.26400634120156014,1.7005091799185517,0.6684113622497895,-1.110652771291955,1.9505208413055153,2.478195905773498,-4.6240676372490475,-0.7824509241151248,-0.4668477348939761,-0.6231947061560588,1.6324388611901859,0.7044385585814681,4.737470635617898,0.3947466369211998,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,59,405294,389858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14867,13736,0,-0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1982,1,1,16384,2,Alaska,1982,449608,2.223226408130461,0.5785797376951749,0.30600187767836146,-0.45624365957768964,0.6305844993044238,-0.7023412976584131,-1.6316340944331098,0.007407923820439206,1.2225006367715021,0.7757662022244397,0.6176321093997752,-1.8944571018012266,3.377071259431593,1.6727417074008955,-1.4502590402489455,-0.3375176165434873,0.26400634120156014,1.7005091799185517,0.6684113622497895,-1.110652771291955,1.9505208413055153,2.478195905773498,-4.6240676372490475,-0.7824509241151248,-0.4668477348939761,-0.6231947061560588,1.6324388611901859,0.7044385585814681,4.737470635617898,0.3947466369211998,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14867,13736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,59,405294,389858,1,0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1983,0,43,471965,2,Alaska,1983,488423,2.1824272419414044,0.5647511597542646,0.24723344202356526,-0.4534485168050708,0.5938864614255054,-0.6336259983791482,-1.7187366291507773,0.032684346557970985,1.221017646173112,0.6798534664771528,0.9457114807178488,-3.528952195006055,3.0374552620574353,1.4476226720539804,-1.026957847826585,-0.2515278202699032,0.2690379483652838,1.878990349635514,0.7309801895443633,-0.40663254933970255,2.0074088638467606,2.707528455424195,-4.612864673207955,-0.7613464672253617,-0.4556770160827159,0.2025335518023364,0.5035776799218823,0.6399912769044085,4.586891097988774,0.03020319629576532,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,44,435288,405294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16384,14867,0,-0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1983,1,1,18146,2,Alaska,1983,488423,2.1824272419414044,0.5647511597542646,0.24723344202356526,-0.4534485168050708,0.5938864614255054,-0.6336259983791482,-1.7187366291507773,0.032684346557970985,1.221017646173112,0.6798534664771528,0.9457114807178488,-3.528952195006055,3.0374552620574353,1.4476226720539804,-1.026957847826585,-0.2515278202699032,0.2690379483652838,1.878990349635514,0.7309801895443633,-0.40663254933970255,2.0074088638467606,2.707528455424195,-4.612864673207955,-0.7613464672253617,-0.4556770160827159,0.2025335518023364,0.5035776799218823,0.6399912769044085,4.586891097988774,0.03020319629576532,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16384,14867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,44,435288,405294,1,0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1984,0,43,495704,2,Alaska,1984,513697,2.1509610559360834,0.550935760239888,0.1945269748772843,-0.4518911329557953,0.7118167421401601,-0.7497916201367049,-1.8022183822753532,0.054614281564538784,1.2234145771842098,0.6900844036534631,1.134467328857977,-2.25266972607935,2.6822131676789374,1.1651275557095668,-1.795926904607512,-0.12860966967895188,0.26913544400917727,0.15112605713292554,-0.38107424534306633,-1.239812791289609,2.1681923482173557,2.7328451719604723,-4.541221547540111,-0.7586059310632741,-0.4510245868083095,1.0972051959595377,0.1277574478221321,0.7097961703893564,4.519788887106219,-0.09805037358679097,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,41,471965,435288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18146,16384,0,-0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1984,1,1,19310,2,Alaska,1984,513697,2.1509610559360834,0.550935760239888,0.1945269748772843,-0.4518911329557953,0.7118167421401601,-0.7497916201367049,-1.8022183822753532,0.054614281564538784,1.2234145771842098,0.6900844036534631,1.134467328857977,-2.25266972607935,2.6822131676789374,1.1651275557095668,-1.795926904607512,-0.12860966967895188,0.26913544400917727,0.15112605713292554,-0.38107424534306633,-1.239812791289609,2.1681923482173557,2.7328451719604723,-4.541221547540111,-0.7586059310632741,-0.4510245868083095,1.0972051959595377,0.1277574478221321,0.7097961703893564,4.519788887106219,-0.09805037358679097,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18146,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,41,471965,435288,1,0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1985,0,46,512928,2,Alaska,1985,532503,2.1283339655226703,0.5371062344190313,-0.02861518792509936,-0.44886056011890685,0.6806666523044115,-0.695420863702648,-1.882169096814276,0.06970015248129713,1.2159830236632583,0.725517786752681,1.3639518392131889,-2.547599184461091,2.6274801984617624,0.8647202852004748,-2.058468831169583,-0.18538225801240207,0.2645800780166393,0.3826670703547166,-0.6424142023195435,-1.4737222506806797,2.399049694713523,2.6546948989841272,-4.477183774138616,-0.7534171894960149,-0.44104392554600613,0.7830526564384361,0.6272898028656759,1.1215024894857848,4.459160091316354,0.05137842106059433,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,495704,471965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19310,18146,0,-0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1985,1,0,20483,2,Alaska,1985,532503,2.1283339655226703,0.5371062344190313,-0.02861518792509936,-0.44886056011890685,0.6806666523044115,-0.695420863702648,-1.882169096814276,0.06970015248129713,1.2159830236632583,0.725517786752681,1.3639518392131889,-2.547599184461091,2.6274801984617624,0.8647202852004748,-2.058468831169583,-0.18538225801240207,0.2645800780166393,0.3826670703547166,-0.6424142023195435,-1.4737222506806797,2.399049694713523,2.6546948989841272,-4.477183774138616,-0.7534171894960149,-0.44104392554600613,0.7830526564384361,0.6272898028656759,1.1215024894857848,4.459160091316354,0.05137842106059433,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19310,18146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,495704,471965,1,0.5,0,0,0,0,AK,1
AK,Division 9: Pacific,Region 4: West,1986,0,56,522852,2,Alaska,1986,544270,1.4895451911931017,0.5232352775584641,0.5342424905200559,-0.47808044167520974,1.4296142259697007,-1.4856338893651209,-1.9586785157757245,0.08359587860011203,1.2177414427135032,0.9921915350867473,1.9768400462319058,-2.378061556497507,2.2829922717295106,0.7544445845806,-2.0276141805437855,-0.25870370812343535,0.2556530194957344,-0.26037204095547417,-1.6815384160427282,-0.5053232499907692,2.551396051420723,2.527769382538652,-4.4406057999935715,-0.767212592876633,-0.43663531834217595,0.16752405407640225,1.2297016050663714,1.3375983600187886,4.535369948475151,0.7382874479542999,AK,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,512928,495704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20483,19310,0,-0.5,0,0,1,0,AK,1
